2.022745,0.051000
1.949569,0.092000
1.985535,0.165000
2.045079,0.000000
2.033667,0.040000
1.921445,0.223000
1.932360,0.078000
2.045871,0.020000
1.989321,0.031000
2.008812,0.197000
1.970577,0.332000
1.966097,0.110000
2.025104,0.000000
1.983288,0.009000
1.971284,0.159000
1.929039,0.138000
1.958043,0.191000
1.902530,0.228000
1.966201,0.131000
1.970980,0.169000
1.941292,0.255000
2.004319,0.012000
1.935600,0.173000
1.949939,0.224000
1.985716,0.015000
1.935978,0.203000
1.977359,0.034000
1.898369,0.197000
1.940029,0.066000
1.968960,0.052000
1.957331,0.045000
1.992004,0.007000
1.985455,0.107000
1.975594,0.102000
1.949384,0.003000
2.002533,0.059000
1.982209,0.018000
1.947924,0.110000
1.893161,0.326000
1.975940,0.136000
1.981851,0.001000
1.957811,0.110000
1.926318,0.256000
1.954142,0.081000
1.956203,0.183000
1.927752,0.225000
1.963471,0.224000
2.012748,0.047000
1.964125,0.190000
1.936229,0.144000
1.939050,0.101000
1.941912,0.193000
1.979081,0.051000
1.950551,0.219000
1.958398,0.139000
1.961035,0.015000
1.923843,0.173000
1.918339,0.204000
1.928600,0.292000
1.976756,0.008000
